model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params,eigs
MayaPH/opt-flan-iml-6.7b,False,0.024097144603729248,4096,4096,3.7979025840759277,4.305107522479023,1.148577094078064,4.4899702072143555,3.180317616327973,1.1335486962013546,model.decoder.layers.2.self_attn.v_proj,4077,1514.6685791015625,4077,13.600306510925293,111.37017962682022,13.600306510925293,1.080760466720676e-05,16781312,"[1.08076047e-05 1.26425603e-05 1.36691842e-05 ... 5.74521828e+00
 9.79801369e+00 1.36003065e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.02616134285926819,4096,4096,2.2597603797912598,5.919741174054761,0.8643493056297302,6.098654270172119,3.508155448241761,2.6196322526026337,model.decoder.layers.2.self_attn.q_proj,3967,3222.221923828125,4054,416.51654052734375,7.736119962363393,416.51654052734375,1.048395915859146e-05,16781312,"[1.04839592e-05 1.07287196e-05 1.13579545e-05 ... 1.48878830e+02
 2.07696503e+02 4.16516541e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.04877734184265137,4096,4096,3.0877692699432373,6.2187816444991295,1.0017250776290894,6.3354973793029785,2.909810580742893,2.014004642456154,model.decoder.layers.2.self_attn.out_proj,4050,812.47607421875,4066,103.2772445678711,7.866941818774145,103.2772445678711,1.057762619893765e-05,16781312,"[1.05776262e-05 1.08072963e-05 1.19677788e-05 ... 2.72244186e+01
 6.82423477e+01 1.03277245e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.033021390438079834,16384,4096,2.414944887161255,5.944566945309353,1.131076455116272,6.351296901702881,4.247269959034415,2.4615745795744166,model.decoder.layers.2.fc1,4096,17671.359375,4096,289.45068359375,61.051365143093314,289.45068359375,0.11470991373062134,67125248,"[1.14709914e-01 1.36478290e-01 1.51043475e-01 ... 8.53050156e+01
 9.24399490e+01 2.89450684e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.015375733375549316,4096,16384,4.439962387084961,11.602694450712503,1.1744399070739746,11.602777481079102,4.1911788292165335,2.6132416086367356,model.decoder.layers.2.fc2,4096,15530.263671875,4096,410.432373046875,37.83878829192966,410.432373046875,0.1861441433429718,67112960,"[1.8614414e-01 4.9549934e-01 5.0127143e-01 ... 3.4335133e+01 5.0211205e+01
 4.1043237e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.04462486505508423,4096,4096,1.5459516048431396,3.817906014704081,0.8914217948913574,4.4899210929870605,3.5889112400093515,2.4696154800340375,model.decoder.layers.3.self_attn.k_proj,3989,3880.71044921875,4054,294.8597412109375,13.161208218122113,294.8597412109375,1.023952972900588e-05,16781312,"[1.0239530e-05 1.0908766e-05 1.1161213e-05 ... 1.5319879e+02 2.1332532e+02
 2.9485974e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.01707327365875244,4096,4096,3.532710552215576,4.439034296281074,1.1446155309677124,4.619596004486084,3.269872381707728,1.2565519395573146,model.decoder.layers.3.self_attn.v_proj,4080,1861.5400390625,4080,18.0531063079834,103.11466665652407,18.0531063079834,1.0647080671333242e-05,16781312,"[1.0647081e-05 1.2159893e-05 1.2998144e-05 ... 8.2500277e+00 8.6139336e+00
 1.8053106e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.031979650259017944,4096,4096,2.474825859069824,6.561514864294007,0.8894430994987488,6.700014591217041,3.611313360745067,2.6513036625373654,model.decoder.layers.3.self_attn.q_proj,3960,4086.14111328125,4054,448.0264587402344,9.120312056503774,448.0264587402344,1.0139569894818123e-05,16781312,"[1.0139570e-05 1.0527066e-05 1.1075227e-05 ... 1.7066403e+02 1.8695749e+02
 4.4802646e+02]"
MayaPH/opt-flan-iml-6.7b,False,0.01296466588973999,4096,4096,2.884207248687744,4.90617496171995,1.0950219631195068,5.005550384521484,2.9855131690212606,1.7010479964476062,model.decoder.layers.3.self_attn.out_proj,4070,967.1930541992188,4071,50.239810943603516,19.251526549033738,50.239810943603516,1.0604909221001435e-05,16781312,"[1.06049092e-05 1.22009369e-05 1.27822395e-05 ... 1.57905483e+01
 2.79032478e+01 5.02398109e+01]"
MayaPH/opt-flan-iml-6.7b,False,0.01974308490753174,16384,4096,2.5725646018981934,6.634394513496311,1.1338015794754028,6.844902038574219,4.259258749531793,2.5789029782191104,model.decoder.layers.3.fc1,4096,18165.9765625,4096,379.2302551269531,47.902234373200685,379.2302551269531,0.11220789700746536,67125248,"[1.1220790e-01 1.3556452e-01 1.4093447e-01 ... 1.1227681e+02 1.3966696e+02
 3.7923026e+02]"
